SRA,Condition,Condition_pi,Circadian_time_h,Light,Hour_Sin,Hour_Cos
SRR6069377,wt_lowlight_dawn,wt_lowlight_dawn_0.5h,0.5,50.0,0.13052619222005157,0.9914448613738104
SRR6069378,wt_lowlight_dawn,wt_lowlight_dawn_0.5h,0.5,50.0,0.13052619222005157,0.9914448613738104
SRR6069379,wt_lowlight_dawn,wt_lowlight_dawn_2h,2.0,50.0,0.49999999999999994,0.8660254037844387
SRR6069380,wt_lowlight_dawn,wt_lowlight_dawn_2h,2.0,50.0,0.49999999999999994,0.8660254037844387
SRR6069381,wt_lowlight_dawn,wt_lowlight_dawn_4h,4.0,50.0,0.8660254037844386,0.5000000000000001
SRR6069382,wt_lowlight_dawn,wt_lowlight_dawn_4h,4.0,50.0,0.8660254037844386,0.5000000000000001
SRR6069383,wt_lowlight_dawn,wt_lowlight_dawn_6h,6.0,50.0,1.0,6.123233995736766e-17
SRR6069384,wt_lowlight_dawn,wt_lowlight_dawn_6h,6.0,50.0,1.0,6.123233995736766e-17
SRR6069385,wt_lowlight_dawn,wt_lowlight_dawn_8h,8.0,50.0,0.8660254037844388,-0.4999999999999998
SRR6069386,wt_lowlight_dawn,wt_lowlight_dawn_8h,8.0,50.0,0.8660254037844388,-0.4999999999999998
SRR6069387,wt_lowlight_dawn,wt_lowlight_dawn_9h,9.000000000000002,50.0,0.7071067811865472,-0.7071067811865478
SRR6069388,wt_lowlight_dawn,wt_lowlight_dawn_9h,9.000000000000002,50.0,0.7071067811865472,-0.7071067811865478
SRR6069389,wt_lowlight_dawn,wt_lowlight_dawn_10h,10.0,50.0,0.49999999999999994,-0.8660254037844387
SRR6069390,wt_lowlight_dawn,wt_lowlight_dawn_10h,10.0,50.0,0.49999999999999994,-0.8660254037844387
SRR6069391,wt_lowlight_dawn,wt_lowlight_dawn_12h,12.0,50.0,1.2246467991473532e-16,-1.0
SRR6069392,wt_lowlight_dawn,wt_lowlight_dawn_12h,12.0,50.0,1.2246467991473532e-16,-1.0
SRR6069393,wt_clearday_dawn,wt_clearday_dawn_0.5h,0.5,50.0,0.13052619222005157,0.9914448613738104
SRR6069394,wt_clearday_dawn,wt_clearday_dawn_0.5h,0.5,50.0,0.13052619222005157,0.9914448613738104
SRR6069395,wt_clearday_dawn,wt_clearday_dawn_2h,2.0,300.0,0.49999999999999994,0.8660254037844387
SRR6069396,wt_clearday_dawn,wt_clearday_dawn_2h,2.0,300.0,0.49999999999999994,0.8660254037844387
SRR6069397,wt_clearday_dawn,wt_clearday_dawn_4h,4.0,500.0,0.8660254037844386,0.5000000000000001
SRR6069398,wt_clearday_dawn,wt_clearday_dawn_4h,4.0,500.0,0.8660254037844386,0.5000000000000001
SRR6069399,wt_clearday_dawn,wt_clearday_dawn_6h,6.0,600.0,1.0,6.123233995736766e-17
SRR6069400,wt_clearday_dawn,wt_clearday_dawn_6h,6.0,600.0,1.0,6.123233995736766e-17
SRR6069401,wt_clearday_dawn,wt_clearday_dawn_8h,8.0,500.0,0.8660254037844388,-0.4999999999999998
SRR6069402,wt_clearday_dawn,wt_clearday_dawn_8h,8.0,500.0,0.8660254037844388,-0.4999999999999998
SRR6069403,wt_clearday_dawn,wt_clearday_dawn_9h,9.000000000000002,400.0,0.7071067811865472,-0.7071067811865478
SRR6069404,wt_clearday_dawn,wt_clearday_dawn_9h,9.000000000000002,400.0,0.7071067811865472,-0.7071067811865478
SRR6069405,wt_clearday_dawn,wt_clearday_dawn_10h,10.0,300.0,0.49999999999999994,-0.8660254037844387
SRR6069406,wt_clearday_dawn,wt_clearday_dawn_10h,10.0,300.0,0.49999999999999994,-0.8660254037844387
SRR6069407,wt_clearday_dawn,wt_clearday_dawn_12h,12.0,50.0,1.2246467991473532e-16,-1.0
SRR6069408,wt_clearday_dawn,wt_clearday_dawn_12h,12.0,50.0,1.2246467991473532e-16,-1.0
SRR6069409,wt_highlight_pulse,wt_highlight_pulse_8h,8.0,500.0,0.8660254037844388,-0.4999999999999998
SRR6069410,wt_highlight_pulse,wt_highlight_pulse_8h,8.0,500.0,0.8660254037844388,-0.4999999999999998
SRR6069411,wt_highlight_pulse,wt_highlight_pulse_8.25h,8.250000000000002,500.0,0.8314696123025452,-0.5555702330196023
SRR6069412,wt_highlight_pulse,wt_highlight_pulse_8.25h,8.250000000000002,500.0,0.8314696123025452,-0.5555702330196023
SRR6069413,wt_highlight_pulse,wt_highlight_pulse_8.5h,8.500000000000002,500.0,0.7933533402912349,-0.608761429008721
SRR6069414,wt_highlight_pulse,wt_highlight_pulse_8.5h,8.500000000000002,500.0,0.7933533402912349,-0.608761429008721
SRR6069415,wt_highlight_pulse,wt_highlight_pulse_9h,9.000000000000002,500.0,0.7071067811865472,-0.7071067811865478
SRR6069416,wt_highlight_pulse,wt_highlight_pulse_9h,9.000000000000002,500.0,0.7071067811865472,-0.7071067811865478
SRR6069417,wt_highlight_pulse,wt_highlight_pulse_9.25h,9.25,50.0,0.659345815100069,-0.7518398074789773
SRR6069418,wt_highlight_pulse,wt_highlight_pulse_9.25h,9.25,50.0,0.659345815100069,-0.7518398074789773
SRR6069419,wt_highlight_pulse,wt_highlight_pulse_9.5h,9.5,50.0,0.6087614290087209,-0.793353340291235
SRR6069420,wt_highlight_pulse,wt_highlight_pulse_9.5h,9.5,50.0,0.6087614290087209,-0.793353340291235
SRR6069421,wt_highlight_pulse,wt_highlight_pulse_10h,10.0,50.0,0.49999999999999994,-0.8660254037844387
SRR6069422,wt_highlight_pulse,wt_highlight_pulse_10h,10.0,50.0,0.49999999999999994,-0.8660254037844387
SRR6069423,wt_shade_pulse,wt_shade_pulse_8h,8.0,50.0,0.8660254037844388,-0.4999999999999998
SRR6069424,wt_shade_pulse,wt_shade_pulse_8h,8.0,50.0,0.8660254037844388,-0.4999999999999998
SRR6069425,wt_shade_pulse,wt_shade_pulse_8.25h,8.250000000000002,50.0,0.8314696123025452,-0.5555702330196023
SRR6069426,wt_shade_pulse,wt_shade_pulse_8.25h,8.250000000000002,50.0,0.8314696123025452,-0.5555702330196023
SRR6069427,wt_shade_pulse,wt_shade_pulse_8.5h,8.500000000000002,50.0,0.7933533402912349,-0.608761429008721
SRR6069428,wt_shade_pulse,wt_shade_pulse_8.5h,8.500000000000002,50.0,0.7933533402912349,-0.608761429008721
SRR6069429,wt_shade_pulse,wt_shade_pulse_9h,9.000000000000002,50.0,0.7071067811865472,-0.7071067811865478
SRR6069430,wt_shade_pulse,wt_shade_pulse_9h,9.000000000000002,50.0,0.7071067811865472,-0.7071067811865478
SRR6069431,wt_shade_pulse,wt_shade_pulse_9.25h,9.25,375.0,0.659345815100069,-0.7518398074789773
SRR6069432,wt_shade_pulse,wt_shade_pulse_9.25h,9.25,375.0,0.659345815100069,-0.7518398074789773
SRR6069433,wt_shade_pulse,wt_shade_pulse_9.5h,9.5,350.0,0.6087614290087209,-0.793353340291235
SRR6069434,wt_shade_pulse,wt_shade_pulse_9.5h,9.5,350.0,0.6087614290087209,-0.793353340291235
SRR6069435,wt_shade_pulse,wt_shade_pulse_10h,10.0,300.0,0.49999999999999994,-0.8660254037844387
SRR6069436,wt_shade_pulse,wt_shade_pulse_10h,10.0,300.0,0.49999999999999994,-0.8660254037844387
